type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,053628,微星兆豐96購01,TW19Z0536282,2019/12/18,上市,,RWSCCA
上市認購(售)權證,053629,玉山金兆豐96購01,TW19Z0536290,2019/12/18,上市,,RWSCCA
上市認購(售)權證,05362P,可成富邦97售02,TW19Z05362P3,2019/11/21,上市,,RWSCPE
上市認購(售)權證,053630,奇鋐兆豐97購01,TW19Z0536308,2019/12/18,上市,,RWSCCA
上市認購(售)權證,053631,欣興兆豐97購01,TW19Z0536316,2019/12/18,上市,,RWSCCA
上市認購(售)權證,053632,新唐兆豐96購01,TW19Z0536324,2019/12/18,上市,,RWSCCA
上市認購(售)權證,053633,臺股指兆豐96購01,TW19Z0536332,2019/12/18,上市,,RWICCE
上市認購(售)權證,053634,劍麟永豐96購01,TW19Z0536340,2019/12/18,上市,,RWSCCA
上市認購(售)權證,053635,技嘉永豐96購01,TW19Z0536357,2019/12/18,上市,,RWSCCA
上市認購(售)權證,053636,全新永豐96購02,TW19Z0536365,2019/12/18,上市,,RWSCCA
上市認購(售)權證,053637,強茂永豐96購01,TW19Z0536373,2019/12/18,上市,,RWSCCA
上市認購(售)權證,053638,信邦永豐96購01,TW19Z0536381,2019/12/18,上市,,RWSCCA
上市認購(售)權證,053639,禾伸堂永豐96購01,TW19Z0536399,2019/12/18,上市,,RWSCCA
上市認購(售)權證,05363P,臺股指富邦95售03,TW19Z05363P1,2019/11/21,上市,,RWICPE
上市認購(售)權證,053640,上緯控永豐96購01,TW19Z0536407,2019/12/18,上市,,RWSCCA
上市認購(售)權證,053641,正文永豐96購01,TW19Z0536415,2019/12/18,上市,,RWSCCA
上市認購(售)權證,053642,瀚宇博永豐96購01,TW19Z0536423,2019/12/18,上市,,RWSCCA
上市認購(售)權證,053643,漢唐國票97購02,TW19Z0536431,2019/12/18,上市,,RWSCCA
